Date,SP500,NASDAQ
01.01.1972,103.940002,118.870003
01.02.1972,106.57,125.379997
01.03.1972,107.199997,128.139999
01.04.1972,107.669998,131.330002
01.05.1972,109.529999,132.529999
01.06.1972,107.139999,130.080002
01.07.1972,107.389999,127.75
01.08.1972,111.089996,129.949997
01.09.1972,110.550003,129.610001
01.10.1972,111.580002,130.240005
01.11.1972,116.669998,132.960007
01.12.1972,118.050003,133.729996
01.01.1973,116.029999,128.399994
01.02.1973,111.68,120.410004
01.03.1973,111.519997,117.459999
01.04.1973,106.970001,107.849998
01.05.1973,104.949997,102.639999
01.06.1973,104.260002,100.980003
01.07.1973,108.220001,108.639999
01.08.1973,104.25,104.870003
01.09.1973,108.43,111.199997
01.10.1973,108.290001,110.169998
01.11.1973,95.959999,93.510002
01.12.1973,97.550003,92.190002
01.01.1974,96.57,94.93
01.02.1974,96.220001,94.349998
01.03.1974,93.980003,92.269997
01.04.1974,90.309998,86.860001
01.05.1974,87.279999,80.199997
01.06.1974,86,75.959999
01.07.1974,79.309998,69.989998
01.08.1974,72.150002,62.369999
01.09.1974,63.540001,55.669998
01.10.1974,73.900002,65.230003
01.11.1974,69.970001,62.950001
01.12.1974,68.559998,59.82
01.01.1975,76.980003,69.779999
01.02.1975,81.589996,73
01.03.1975,83.360001,75.660004
01.04.1975,87.300003,78.540001
01.05.1975,91.150002,83.099998
01.06.1975,95.190002,87.019997
01.07.1975,88.75,83.190002
01.08.1975,86.879997,79.010002
01.09.1975,83.870003,74.330002
01.10.1975,89.040001,76.989998
01.11.1975,91.239998,78.800003
01.12.1975,90.190002,77.620003
01.01.1976,100.860001,87.050003
01.02.1976,99.709999,90.260002
01.03.1976,102.769997,90.620003
01.04.1976,101.639999,90.080002
01.05.1976,100.18,88.040001
01.06.1976,104.279999,90.32
01.07.1976,103.440002,91.290001
01.08.1976,102.910004,89.699997
01.09.1976,105.239998,91.260002
01.10.1976,102.900002,90.349998
01.11.1976,102.099998,91.120003
01.12.1976,107.459999,97.879997
01.01.1977,102.029999,95.540001
01.02.1977,99.82,94.57
01.03.1977,98.419998,94.129997
01.04.1977,98.440002,95.480003
01.05.1977,96.120003,95.589996
01.06.1977,100.480003,99.730003
01.07.1977,98.849998,100.650002
01.08.1977,96.769997,100.099998
01.09.1977,96.529999,100.849998
01.10.1977,92.339996,97.519997
01.11.1977,94.830002,103.150002
01.12.1977,95.099998,105.050003
01.01.1978,89.25,100.839996
01.02.1978,87.040001,101.470001
01.03.1978,89.209999,106.199997
01.04.1978,96.830002,115.18
01.05.1978,97.239998,120.239998
01.06.1978,95.529999,120.300003
01.07.1978,100.68,126.32
01.08.1978,103.290001,135.009995
01.09.1978,102.540001,132.889999
01.10.1978,93.150002,111.120003
01.11.1978,94.699997,114.690002
01.12.1978,96.110001,117.980003
01.01.1979,99.93,125.82
01.02.1979,96.279999,122.559998
01.03.1979,101.589996,131.759995
01.04.1979,101.760002,133.820007
01.05.1979,99.080002,131.419998
01.06.1979,102.910004,138.130005
01.07.1979,103.809998,141.330002
01.08.1979,109.32,150.440002
01.09.1979,109.32,149.979996
01.10.1979,101.82,135.529999
01.11.1979,106.160004,144.259995
01.12.1979,107.940002,151.139999
01.01.1980,114.160004,161.75
01.02.1980,113.660004,158.029999
01.03.1980,102.089996,131
01.04.1980,106.290001,139.990005
01.05.1980,111.239998,150.449997
01.06.1980,114.239998,157.779999
01.07.1980,121.669998,171.809998
01.08.1980,122.379997,181.520004
01.09.1980,125.459999,187.759995
01.10.1980,127.470001,192.779999
01.11.1980,140.520004,208.149994
01.12.1980,135.759995,202.339996
01.01.1981,129.550003,197.809998
01.02.1981,131.270004,198.009995
01.03.1981,136,210.179993
01.04.1981,132.809998,216.740005
01.05.1981,132.589996,223.470001
01.06.1981,131.210007,215.75
01.07.1981,130.919998,211.630005
01.08.1981,122.790001,195.75
01.09.1981,116.18,180.029999
01.10.1981,121.889999,195.240005
01.11.1981,126.349998,201.369995
01.12.1981,122.550003,195.839996
01.01.1982,120.400002,188.389999
01.02.1982,113.110001,179.429993
01.03.1982,111.959999,175.649994
01.04.1982,116.440002,184.699997
01.05.1982,111.879997,178.539993
01.06.1982,109.610001,171.300003
01.07.1982,107.089996,167.350006
01.08.1982,119.510002,177.710007
01.09.1982,120.419998,187.649994
